character,Cantonese,Mandarin,Initial_Cantonese,Rhyme_Cantonese,Tone_Cantonese,Initial_Mandarin,Rhyme_Mandarin,Tone_Mandarin
调,diu6,diao4,d,iu,6,d,iao,4
深,sam1,shen1,s,am,1,sh,en,1
商,soeng1,shang1,s,oeng,1,sh,ang,1
算,syun3,suan4,s,ün,3,s,uan,4
质,zat1,zhi2,z,at,1,zh,i,2
团,tyun4,tuan2,t,ün,4,t,uan,2
集,zaap6,ji2,z,aap,6,j,i,2
百,baak3,bai3,b,aak,3,b,ai,3
需,seoi1,xu1,s,eoi,1,x,ü,1
价,gaa3,jia4,g,aa,3,j,ia,4
花,faa1,hua1,f,aa,1,h,ua,1
党,dong2,dang3,d,ong,2,d,ang,3
华,waa4,hua2,w,aa,4,h,ua,2
城,sing4,cheng2,s,ing,4,ch,eng,2
石,sek6,shi2,s,ek,6,sh,i,2
级,kap1,ji2,k,ap,1,j,i,2
整,zing2,zheng3,z,ing,2,zh,eng,3
府,fu2,fu3,f,u,2,f,u,3
离,lei4,li2,l,ei,4,l,i,2
况,fong3,kuang4,f,ong,3,k,uang,4
亚,aa3,ya4, ,aa,3,y,a,4
请,ceng2,qing3,c,eng,2,q,ing,3
技,gei6,ji4,g,ei,6,j,i,4
际,zai3,ji4,z,ai,3,j,i,4
约,joek3,yue1,j,oek,3,y,üe,1
示,si6,shi4,s,i,6,sh,i,4
复,fuk6,fu4,f,uk,6,f,u,4
病,beng6,bing4,b,eng,6,b,ing,4
息,sik1,xi1,s,ik,1,x,i,1
究,gau3,jiu1,g,au,3,j,iu,1
线,sin3,xian4,s,in,3,x,iän,4
似,ci5,si4,c,i,5,s,i,4
官,gun1,guan1,g,un,1,g,uan,1
火,fo2,huo3,f,o,2,h,uo,3
断,dyun3,duan4,d,ün,3,d,uan,4
精,zing1,jing1,z,ing,1,j,ing,1
满,mun5,man3,m,un,5,m,an,3
支,zi1,zhi1,z,i,1,zh,i,1
视,si6,shi4,s,i,6,sh,i,4
