character,Cantonese,Mandarin,Initial_Cantonese,Rhyme_Cantonese,Tone_Cantonese,Initial_Mandarin,Rhyme_Mandarin,Tone_Mandarin
拳,kyun4,quan2,k,ün,4,q,üän,2
弥,nei4,mi2,n,ei,4,m,i,2
斜,ce4,xie2,c,e,4,x,ie,2
档,dong3,dang3,d,ong,3,d,ang,3
稀,hei1,xi1,h,ei,1,x,i,1
捷,zit6,jie2,z,it,6,j,ie,2
肤,fu1,fu1,f,u,1,f,u,1
疫,jik6,yi4,j,ik,6,y,i,4
肿,zung2,zhong3,z,ung,2,zh,ong,3
豆,dau2,dou4,d,au,2,d,ou,4
削,soek3,xue1,s,oek,3,x,üe,1
岗,gong1,gang3,g,ong,1,g,ang,3
晃,fong2,huang3,f,ong,2,h,uang,3
吞,tan1,tun1,t,an,1,t,un,1
宏,wang4,hong2,w,ang,4,h,ong,2
癌,ngaam4,ai2,ng,aam,4, ,ai,2
肚,tou5,du4,t,ou,5,d,u,4
隶,dai6,li4,d,ai,6,l,i,4
履,lei5,lv3,l,ei,5,l,ü,3
涨,zoeng2,zhang3,z,oeng,2,zh,ang,3
耀,jiu6,yao4,j,iu,6,y,ao,4
扭,nau2,niu3,n,au,2,n,iu,3
坛,taan4,tan2,t,aan,4,t,an,2
拨,but6,bo1,b,ut,6,b,o,1
沃,juk1,wo4,j,uk,1,w,o,4
绘,kui2,hui4,k,ui,2,h,ui,4
伐,fat6,fa2,f,at,6,f,a,2
堪,ham1,kan1,h,am,1,k,an,1
仆,buk6,pu1,b,uk,6,p,u,1
郭,gwok3,guo1,gw,ok,3,g,uo,1
牺,hei1,xi1,h,ei,1,x,i,1
歼,cim1,jian1,c,im,1,j,iän,1
墓,mou6,mu4,m,ou,6,m,u,4
雇,gu3,gu4,g,u,3,g,u,4
廉,lim4,lian2,l,im,4,l,ian,2
契,kai3,qi4,k,ai,3,q,i,4
拼,ping1,pin1,p,ing,1,p,in,1
惩,cing4,cheng2,c,ing,4,ch,eng,2
捉,zuk1,zhuo1,z,uk,1,zh,uo,1
覆,fuk1,fu4,f,uk,1,f,u,4
刷,caat3,shua1,c,aat,3,sh,ua,1
劫,gip3,jie2,g,ip,3,j,ie,2
嫌,jim4,xian2,j,im,4,x,iän,2
瓜,gwaa1,gua1,gw,aa,1,g,ua,1
歇,hit3,xie1,h,it,3,x,ie,1
雕,diu1,diao1,d,iu,1,d,iao,1
闷,mun6,men4,m,un,6,m,en,4
乳,jyu5,ru3,j,ü,5,r,u,3
串,cyun3,chuan4,c,ün,3,ch,uan,4
娃,waa1,wa2,w,aa,1,w,a,2
缴,giu2,jiao3,g,iu,2,j,iao,3
唤,wun6,huan4,w,un,6,h,uan,4
赢,jeng4,ying2,j,eng,4,y,ing,2
莲,lin4,lian2,l,in,4,l,ian,2
霸,baa3,ba4,b,aa,3,b,a,4
桃,tou4,tao2,t,ou,4,t,ao,2
妥,to2,tuo3,t,o,2,t,uo,3
瘦,sau3,shou4,s,au,3,sh,ou,4
搭,daap3,da1,d,aap,3,d,a,1
赴,fu6,fu4,f,u,6,f,u,4
岳,ngok6,yue4,ng,ok,6,y,üe,4
嘉,gaa1,jia1,g,aa,1,j,ia,1
舱,cong1,cang1,c,ong,1,c,ang,1
俊,zeon3,jun4,z,eon,3,j,ün,4
址,zi2,zhi3,z,i,2,zh,i,3
庞,pong4,pang2,p,ong,4,p,ang,2
耕,gaang1,geng1,g,aang,1,g,eng,1
锐,jeoi6,rui4,j,eoi,6,r,ui,4
缝,fung6,feng2,f,ung,6,f,eng,2
悔,fui3,hui3,f,ui,3,h,ui,3
邀,jiu1,yao1,j,iu,1,y,ao,1
玲,ling4,ling2,l,ing,4,l,ing,2
惟,wai4,wei2,w,ai,4,w,ei,2
斥,cik1,chi4,c,ik,1,ch,i,4
宅,zaak6,zhai2,z,aak,6,zh,ai,2
添,tim1,tian1,t,im,1,t,ian,1
挖,waat3,wa1,w,aat,3,w,a,1
呵,ho1,he1,h,o,1,h,e,1
讼,zung6,song4,z,ung,6,s,ong,4
氧,joeng5,yang3,j,oeng,5,y,ang,3
浩,hou6,hao4,h,ou,6,h,ao,4
羽,jyu5,yu3,j,ü,5,y,ü,3
斤,gan1,jin1,g,an,1,j,in,1
酷,huk6,ku4,h,uk,6,k,u,4
掠,loek6,lve4,l,oek,6,l,üe,4
妖,jiu1,yao1,j,iu,1,y,ao,1
祸,wo6,huo4,w,o,6,h,uo,4
侍,si6,shi4,s,i,6,sh,i,4
乙,jyut3,yi3,j,üt,3,y,i,3
妨,fong4,fang2,f,ong,4,f,ang,2
贪,taam1,tan1,t,aam,1,t,an,1
挣,zang1,zheng1,z,ang,1,zh,eng,1
汪,wong1,wang1,w,ong,1,w,ang,1
尿,niu6,niao4,n,iu,6,n,iao,4
莉,lei6,li4,l,ei,6,l,i,4
悬,jyun4,xuan2,j,ün,4,x,üän,2
唇,seon4,chun2,s,eon,4,ch,un,2
翰,hon6,han4,h,on,6,h,an,4
仓,cong1,cang1,c,ong,1,c,ang,1
轨,gwai2,gui3,gw,ai,2,g,ui,3
枚,mui4,mei2,m,ui,4,m,ei,2
盐,jim4,yan2,j,im,4,y,än,2
览,laam5,lan3,l,aam,5,l,an,3
傅,fu6,fu4,f,u,6,f,u,4
帅,seoi3,shuai4,s,eoi,3,sh,uai,4
庙,miu6,miao4,m,iu,6,m,iao,4
芬,fan1,fen1,f,an,1,f,en,1
屏,ping4,ping2,p,ing,4,p,ing,2
寺,zi6,si4,z,i,6,s,i,4
胖,bun6,pang4,b,un,6,p,ang,4
璃,lei4,li2,l,ei,4,l,i,2
愚,jyu4,yu2,j,ü,4,y,ü,2
滴,dik1,di1,d,ik,1,d,i,1
疏,so1,shu1,s,o,1,sh,u,1
萧,siu1,xiao1,s,iu,1,x,iao,1
姿,zi1,zi1,z,i,1,z,i,1
颤,zin3,zhan4,z,in,3,zh,an,4
丑,cau2,chou3,c,au,2,ch,ou,3
劣,lyut3,lie4,l,üt,3,l,ie,4
柯,o1,ke1, ,o,1,k,e,1
寸,cyun3,cun4,c,ün,3,c,un,4
扔,wing1,reng1,w,ing,1,r,eng,1
盯,deng1,ding1,d,eng,1,d,ing,1
辱,juk6,ru3,j,uk,6,r,u,3
匹,pat1,pi3,p,at,1,p,i,3
俱,keoi1,ju4,k,eoi,1,j,ü,4
辨,bin6,bian4,b,in,6,b,ian,4
饿,ngo6,e4,ng,o,6, ,e,4
蜂,fung1,feng1,f,ung,1,f,eng,1
哦,o6,e2, ,o,6, ,e,2
腔,hong1,qiang1,h,ong,1,q,iang,1
郁,wat1,yu4,w,at,1,y,ü,4
溃,kui2,kui4,k,ui,2,k,ui,4
谨,gan2,jin3,g,an,2,j,in,3
糟,zou1,zao1,z,ou,1,z,ao,1
葛,got3,ge2,g,ot,3,g,e,2
苗,miu4,miao2,m,iu,4,m,iao,2
肠,coeng4,chang2,c,oeng,4,ch,ang,2
忌,gei6,ji4,g,ei,6,j,i,4
溜,liu1,liu1,l,iu,1,l,iu,1
鸿,hung4,hong2,h,ung,4,h,ong,2
爵,zoek3,jue2,z,oek,3,j,üe,2
鹏,paang4,peng2,p,aang,4,p,eng,2
鹰,jing1,ying1,j,ing,1,y,ing,1
笼,lung5,long2,l,ung,5,l,ong,2
丘,jau1,qiu1,j,au,1,q,iu,1
桂,gwai3,gui4,gw,ai,3,g,ui,4
滋,zi1,zi1,z,i,1,z,i,1
聊,liu4,liao2,l,iu,4,l,iao,2
挡,dong2,dang3,d,ong,2,d,ang,3
纲,gong1,gang1,g,ong,1,g,ang,1
肌,gei1,ji1,g,ei,1,j,i,1
壳,hok3,ke2,h,ok,3,k,e,2
痕,han4,hen2,h,an,4,h,en,2
碗,wun2,wan3,w,un,2,w,an,3
穴,jyut6,xue2,j,üt,6,x,üe,2
膀,bong2,bang3,b,ong,2,b,ang,3
卓,coek3,zhuo1,c,oek,3,zh,uo,1
贤,jin4,xian2,j,in,4,x,iän,2
卧,ngo6,wo4,ng,o,6,w,o,4
膜,mok6,mo4,m,ok,6,m,o,4
毅,ngai6,yi4,ng,ai,6,y,i,4
锦,gam2,jin3,g,am,2,j,in,3
欠,him3,qian4,h,im,3,q,iän,4
哩,lei5,li1,l,ei,5,l,i,1
函,haam4,han2,h,aam,4,h,an,2
茫,mong4,mang2,m,ong,4,m,ang,2
昂,ngong4,ang2,ng,ong,4, ,ang,2
薛,sit3,xue1,s,it,3,x,üe,1
皱,zau3,zhou4,z,au,3,zh,ou,4
夸,kwaa1,kua1,kw,aa,1,k,ua,1
豫,jyu6,yu4,j,ü,6,y,ü,4
胃,wai6,wei4,w,ai,6,w,ei,4
舌,sit3,she2,s,it,3,sh,e,2
剥,mok1,bo1,m,ok,1,b,o,1
傲,ngou6,ao4,ng,ou,6, ,ao,4
拾,sap6,shi2,s,ap,6,sh,i,2
窝,wo1,wo1,w,o,1,w,o,1
睁,zang1,zheng1,z,ang,1,zh,eng,1
携,kwai4,xie2,kw,ai,4,x,ie,2
陵,ling4,ling2,l,ing,4,l,ing,2
哼,hng6,heng1, , , ,h,eng,1
棉,min4,mian2,m,in,4,m,ian,2
晴,cing4,qing2,c,ing,4,q,ing,2
铃,ling4,ling2,l,ing,4,l,ing,2
填,tin4,tian2,t,in,4,t,ian,2
饲,zi6,si4,z,i,6,s,i,4
渴,hot3,ke3,h,ot,3,k,e,3
吻,man5,wen3,m,an,5,w,en,3
扮,baan6,ban4,b,aan,6,b,an,4
逆,jik6,ni4,j,ik,6,n,i,4
脆,ceoi3,cui4,c,eoi,3,c,ui,4
喘,cyun2,chuan3,c,ün,2,ch,uan,3
罩,zaau3,zhao4,z,aau,3,zh,ao,4
卜,baak6,bu3,b,aak,6,b,u,3
炉,lou4,lu2,l,ou,4,l,u,2
柴,caai4,chai2,c,aai,4,ch,ai,2
愉,jyu4,yu2,j,ü,4,y,ü,2
绳,sing4,sheng2,s,ing,4,sh,eng,2
胎,toi1,tai1,t,oi,1,t,ai,1
蓄,cuk1,xu4,c,uk,1,x,ü,4
眠,min4,mian2,m,in,4,m,ian,2
竭,kit3,jie2,k,it,3,j,ie,2
喂,wai3,wei4,w,ai,3,w,ei,4
傻,so4,sha3,s,o,4,sh,a,3
慕,mou6,mu4,m,ou,6,m,u,4
浑,wan4,hun2,w,an,4,h,un,2
奸,gaan1,jian1,g,aan,1,j,iän,1
扇,sin3,shan4,s,in,3,sh,an,4
柜,gwai6,gui4,gw,ai,6,g,ui,4
悦,jyut6,yue4,j,üt,6,y,üe,4
拦,laan4,lan2,l,aan,4,l,an,2
诞,daan3,dan4,d,aan,3,d,an,4
饱,baau2,bao3,b,aau,2,b,ao,3
乾,gon1,gan1,g,on,1,g,an,1
泡,paau3,pao4,p,aau,3,p,ao,4
贼,caak6,zei2,c,aak,6,z,ei,2
亭,ting4,ting2,t,ing,4,t,ing,2
夕,zik6,xi1,z,ik,6,x,i,1
爹,de1,die1,d,e,1,d,ie,1
酬,cau4,chou2,c,au,4,ch,ou,2
儒,jyu4,ru2,j,ü,4,r,u,2
姻,jan1,yin1,j,an,1,y,in,1
卵,leon2,luan3,l,eon,2,l,uan,3
氛,fan1,fen1,f,an,1,f,en,1
泄,sit3,xie4,s,it,3,x,ie,4
杆,gon2,gan1,g,on,2,g,an,1
挨,aai1,ai1, ,aai,1, ,ai,1
僧,zang1,seng1,z,ang,1,s,eng,1
蜜,mat6,mi4,m,at,6,m,i,4
吟,jam4,yin2,j,am,4,y,in,2
猩,sing1,xing1,s,ing,1,x,ing,1
遂,seoi6,sui4,s,eoi,6,s,ui,4
狭,haap3,xia2,h,aap,3,x,ia,2
肖,ciu3,xiao4,c,iu,3,x,iao,4
甜,tim4,tian2,t,im,4,t,ian,2
霞,haa4,xia2,h,aa,4,x,ia,2
驳,bok3,bo2,b,ok,3,b,o,2
裕,jyu6,yu4,j,ü,6,y,ü,4
顽,waan4,wan2,w,aan,4,w,an,2
於,jyu1,yu2,j,ü,1,y,ü,2
摘,zaak6,zhai1,z,aak,6,zh,ai,1
矮,ai2,ai3, ,ai,2, ,ai,3
秒,miu5,miao3,m,iu,5,m,iao,3
卿,hing1,qing1,h,ing,1,q,ing,1
畜,cuk1,chu4,c,uk,1,ch,u,4
咽,jin1,yan1,j,in,1,y,än,1
披,pei1,pi1,p,ei,1,p,i,1
辅,fu6,fu3,f,u,6,f,u,3
勾,ngau1,gou1,ng,au,1,g,ou,1
盆,pun4,pen2,p,un,4,p,en,2
疆,goeng1,jiang1,g,oeng,1,j,iang,1
赌,dou2,du3,d,ou,2,d,u,3
塑,sou3,su4,s,ou,3,s,u,4
畏,wai3,wei4,w,ai,3,w,ei,4
吵,caau2,chao3,c,aau,2,ch,ao,3
囊,nong4,nang2,n,ong,4,n,ang,2
嗯,ng6,嗯, ,_ng,6, , , 
泊,bok6,bo2,b,ok,6,b,o,2
肺,fai3,fei4,f,ai,3,f,ei,4
骤,zau6,zou4,z,au,6,z,ou,4
缠,cin4,chan2,c,in,4,ch,an,2
冈,gong1,gang1,g,ong,1,g,ang,1
羞,sau1,xiu1,s,au,1,x,iu,1
瞪,dang1,deng4,d,ang,1,d,eng,4
吊,diu3,diao4,d,iu,3,d,iao,4
贾,gu2,jia3,g,u,2,j,ia,3
漏,lau6,lou4,l,au,6,l,ou,4
斑,baan1,ban1,b,aan,1,b,an,1
涛,tou4,tao1,t,ou,4,t,ao,1
悠,jau4,you1,j,au,4,y,ou,1
鹿,luk6,lu4,l,uk,6,l,u,4
俘,fu1,fu2,f,u,1,f,u,2
锡,sek3,xi2,s,ek,3,x,i,2
卑,bei1,bei1,b,ei,1,b,ei,1
葬,zong3,zang4,z,ong,3,z,ang,4
铭,ming5,ming2,m,ing,5,m,ing,2
滩,taan1,tan1,t,aan,1,t,an,1
嫁,gaa3,jia4,g,aa,3,j,ia,4
催,ceoi1,cui1,c,eoi,1,c,ui,1
璇,syun4,xuan2,s,ün,4,x,üän,2
翅,ci3,chi4,c,i,3,ch,i,4
盒,hap6,he2,h,ap,6,h,e,2
蛮,maan4,man2,m,aan,4,m,an,2
矣,ji5,yi3,j,i,5,y,i,3
潘,pun1,pan1,p,un,1,p,an,1
歧,kei4,qi2,k,ei,4,q,i,2
赐,ci3,si4,c,i,3,s,i,4
鲍,baau1,bao4,b,aau,1,b,ao,4
锅,wo1,guo1,w,o,1,g,uo,1
廊,long4,lang2,l,ong,4,l,ang,2
拆,caak3,chai1,c,aak,3,ch,ai,1
灌,gun3,guan4,g,un,3,g,uan,4
勉,min5,mian3,m,in,5,m,ian,3
盲,maang4,mang2,m,aang,4,m,ang,2
宰,zoi2,zai3,z,oi,2,z,ai,3
佐,zo3,zuo3,z,o,3,z,uo,3
啥,saa1,sha4,s,aa,1,sh,a,4
胀,zoeng3,zhang4,z,oeng,3,zh,ang,4
扯,ce2,che3,c,e,2,ch,e,3
禧,hei1,xi3,h,ei,1,x,i,3
辽,liu4,liao2,l,iu,4,l,iao,2
抹,maat3,mo3,m,aat,3,m,o,3
筒,tung4,tong3,t,ung,4,t,ong,3
棋,kei4,qi2,k,ei,4,q,i,2
裤,fu3,ku4,f,u,3,k,u,4
唉,ai3,ai1, ,ai,3, ,ai,1
朴,pok3,po4,p,ok,3,p,o,4
咐,fu6,fu4,f,u,6,f,u,4
孕,jan6,yun4,j,an,6,y,ün,4
誓,sai6,shi4,s,ai,6,sh,i,4
喉,hau4,hou2,h,au,4,h,ou,2
妄,mong5,wang4,m,ong,5,w,ang,4
拘,keoi1,ju1,k,eoi,1,j,ü,1
链,lin4,lian4,l,in,4,l,ian,4
驰,ci4,chi2,c,i,4,ch,i,2
栏,laan4,lan2,l,aan,4,l,an,2
逝,sai6,shi4,s,ai,6,sh,i,4
窃,sit3,qie4,s,it,3,q,ie,4
艳,jim6,yan4,j,im,6,y,än,4
臭,cau3,chou4,c,au,3,ch,ou,4
纤,cim1,xian1,c,im,1,x,iän,1
玑,gei1,ji1,g,ei,1,j,i,1
棵,po1,ke1,p,o,1,k,e,1
趁,can3,chen4,c,an,3,ch,en,4
匠,zoeng6,jiang4,z,oeng,6,j,iang,4
盈,jing4,ying2,j,ing,4,y,ing,2
翁,jung1,weng1,j,ung,1,w,eng,1
愁,sau4,chou2,s,au,4,ch,ou,2
瞬,seon3,shun4,s,eon,3,sh,un,4
婴,jing1,ying1,j,ing,1,y,ing,1
孝,haau3,xiao4,h,aau,3,x,iao,4
颈,geng2,jing3,g,eng,2,j,ing,3
倘,tong2,tang3,t,ong,2,t,ang,3
浙,zit3,zhe4,z,it,3,zh,e,4
谅,loeng6,liang4,l,oeng,6,l,iang,4
蔽,bai3,bi4,b,ai,3,b,i,4
畅,coeng3,chang4,c,oeng,3,ch,ang,4
赠,zang6,zeng4,z,ang,6,z,eng,4
妮,nei4,ni1,n,ei,4,n,i,1
莎,saa1,sha1,s,aa,1,sh,a,1
尉,wai3,wei4,w,ai,3,w,ei,4
冻,dung3,dong4,d,ung,3,d,ong,4
跪,gwai6,gui4,gw,ai,6,g,ui,4
闯,cong2,chuang3,c,ong,2,ch,uang,3
葡,pou4,pu2,p,ou,4,p,u,2
後,hau6,hou4,h,au,6,h,ou,4
厨,ceoi4,chu2,c,eoi,4,ch,u,2
鸭,aap3,ya1, ,aap,3,y,a,1
颠,din1,dian1,d,in,1,d,ian,1
遮,ze1,zhe1,z,e,1,zh,e,1
谊,ji4,yi2,j,i,4,y,i,2
圳,zan3,zhen4,z,an,3,zh,en,4
吁,heoi1,xu1,h,eoi,1,x,ü,1
仑,leon4,lun2,l,eon,4,l,un,2
辟,pik1,pi4,p,ik,1,p,i,4
瘤,lau4,liu2,l,au,4,l,iu,2
嫂,sou2,sao3,s,ou,2,s,ao,3
陀,to4,tuo2,t,o,4,t,uo,2
框,kwaang1,kuang4,kw,aang,1,k,uang,4
谭,taam4,tan2,t,aam,4,t,an,2
亨,hang1,heng1,h,ang,1,h,eng,1
钦,jam1,qin1,j,am,1,q,in,1
庸,jung4,yong1,j,ung,4,y,ong,1
歉,hip3,qian4,h,ip,3,q,iän,4
芝,zi1,zhi1,z,i,1,zh,i,1
吼,hau3,hou3,h,au,3,h,ou,3
甫,fu2,fu3,f,u,2,f,u,3
衫,saam1,shan1,s,aam,1,sh,an,1
摊,taan1,tan1,t,aan,1,t,an,1
宴,jin3,yan4,j,in,3,y,än,4
嘱,zuk1,zhu3,z,uk,1,zh,u,3
衷,zung1,zhong1,z,ung,1,zh,ong,1
娇,giu1,jiao1,g,iu,1,j,iao,1
陕,sim2,shan3,s,im,2,sh,an,3
矩,geoi2,ju3,g,eoi,2,j,ü,3
浦,pou2,pu3,p,ou,2,p,u,3
讶,ngaa6,ya4,ng,aa,6,y,a,4
耸,sung2,song3,s,ung,2,s,ong,3
裸,lo2,luo3,l,o,2,l,uo,3
碧,bik1,bi4,b,ik,1,b,i,4
摧,ceoi1,cui1,c,eoi,1,c,ui,1
薪,san1,xin1,s,an,1,x,in,1
淋,lam4,lin2,l,am,4,l,in,2
耻,ci2,chi3,c,i,2,ch,i,3
胶,gaau1,xiao2,g,aau,1,x,iao,2
屠,tou4,tu2,t,ou,4,t,u,2
鹅,ngo4,e2,ng,o,4, ,e,2
饥,gei1,ji1,g,ei,1,j,i,1
盼,paan3,pan4,p,aan,3,p,an,4
脖,but6,bo2,b,ut,6,b,o,2
虹,hung4,hong2,h,ung,4,h,ong,2
翠,ceoi3,cui4,c,eoi,3,c,ui,4
崩,bang1,beng1,b,ang,1,b,eng,1
账,zoeng3,zhang4,z,oeng,3,zh,ang,4
萍,ping4,ping2,p,ing,4,p,ing,2
逢,fung4,feng2,f,ung,4,f,eng,2
赚,zaan6,zhuan4,z,aan,6,zh,uan,4
撑,caang1,cheng1,c,aang,1,ch,eng,1
翔,coeng4,xiang2,c,oeng,4,x,iang,2
倡,coeng3,chang4,c,oeng,3,ch,ang,4
绵,min4,mian2,m,in,4,m,ian,2
猴,hau4,hou2,h,au,4,h,ou,2
枯,fu1,ku1,f,u,1,k,u,1
巫,mou4,wu1,m,ou,4,w,u,1
昭,ciu1,zhao1,c,iu,1,zh,ao,1
怔,zing1,zheng1,z,ing,1,zh,eng,1
渊,jyun1,yuan1,j,ün,1,y,üän,1
凑,cau3,cou4,c,au,3,c,ou,4
溪,kai1,xi1,k,ai,1,x,i,1
蠢,ceon2,chun3,c,eon,2,ch,un,3
禅,sin6,shan4,s,in,6,sh,an,4
阐,zin2,chan3,z,in,2,ch,an,3
旺,wong6,wang4,w,ong,6,w,ang,4
寓,jyu6,yu4,j,ü,6,y,ü,4
藤,tang4,teng2,t,ang,4,t,eng,2
匪,fei2,fei3,f,ei,2,f,ei,3
伞,saan3,san3,s,aan,3,s,an,3
碑,bei1,bei1,b,ei,1,b,ei,1
挪,no4,nuo2,n,o,4,n,uo,2
琼,king4,qiong2,k,ing,4,q,iong,2
脂,zi1,zhi1,z,i,1,zh,i,1
谎,fong1,huang3,f,ong,1,h,uang,3
慨,koi3,kai3,k,oi,3,k,ai,3
菩,pou4,pu2,p,ou,4,p,u,2
萄,tou4,tao2,t,ou,4,t,ao,2
狮,si1,shi1,s,i,1,sh,i,1
掘,gwat6,jue2,gw,at,6,j,üe,2
抄,caau1,chao1,c,aau,1,ch,ao,1
岭,leng5,ling2,l,eng,5,l,ing,2
晕,wan4,yun1,w,an,4,y,ün,1
逮,dai6,dai4,d,ai,6,d,ai,4
砍,ham2,kan3,h,am,2,k,an,3
掏,tou4,tao1,t,ou,4,t,ao,1
狄,dik6,di2,d,ik,6,d,i,2
晰,sik1,xi1,s,ik,1,x,i,1
罕,hon2,han3,h,on,2,h,an,3
挽,waan5,wan3,w,aan,5,w,an,3
脾,pei4,pi2,p,ei,4,p,i,2
舟,zau1,zhou1,z,au,1,zh,ou,1
痴,ci1,chi1,c,i,1,ch,i,1
蔡,coi3,cai4,c,oi,3,c,ai,4
剪,zin2,jian3,z,in,2,j,iän,3
脊,zik3,ji2,z,ik,3,j,i,2
弓,gung1,gong1,g,ung,1,g,ong,1
懒,laan5,lan3,l,aan,5,l,an,3
叉,caa1,cha1,c,aa,1,ch,a,1
拐,gwaai2,guai3,gw,aai,2,g,uai,3
喃,naam4,nan2,n,aam,4,n,an,2
僚,liu4,liao2,l,iu,4,l,iao,2
捐,gyun1,juan1,g,ün,1,j,üän,1
姊,zi2,zi3,z,i,2,z,i,3
骚,sou1,sao1,s,ou,1,s,ao,1
拓,tok3,tuo4,t,ok,3,t,uo,4
歪,waai1,wai1,w,aai,1,w,ai,1
粘,nim1,nian2,n,im,1,n,ian,2
柄,beng3,bing3,b,eng,3,b,ing,3
坑,haang1,keng1,h,aang,1,k,eng,1
陌,mak6,mo4,m,ak,6,m,o,4
窄,zaak3,zhai3,z,aak,3,zh,ai,3
湘,soeng1,xiang1,s,oeng,1,x,iang,1
兆,siu6,zhao4,s,iu,6,zh,ao,4
崖,ngaai4,ya2,ng,aai,4,y,a,2
骄,giu1,jiao1,g,iu,1,j,iao,1
刹,caat3,cha4,c,aat,3,ch,a,4
鞭,bin1,bian1,b,in,1,b,ian,1
芒,mong4,mang2,m,ong,4,m,ang,2
筋,gan1,jin1,g,an,1,j,in,1
聘,ping3,pin4,p,ing,3,p,in,4
钩,gau1,gou1,g,au,1,g,ou,1
棍,gwan3,gun4,gw,an,3,g,un,4
嚷,joeng5,rang3,j,oeng,5,r,ang,3
腺,sin3,xian4,s,in,3,x,iän,4
弦,jin4,xian2,j,in,4,x,iän,2
焰,jim6,yan4,j,im,6,y,än,4
耍,saa2,shua3,s,aa,2,sh,ua,3
俯,fu2,fu3,f,u,2,f,u,3
厘,lei4,li2,l,ei,4,l,i,2
愣,ling6,leng4,l,ing,6,l,eng,4
厦,haa6,sha4,h,aa,6,sh,a,4
恳,han2,ken3,h,an,2,k,en,3
饶,jiu4,rao2,j,iu,4,r,ao,2
钉,deng1,ding1,d,eng,1,d,ing,1
寡,gwaa2,gua3,gw,aa,2,g,ua,3
憾,ham6,han4,h,am,6,h,an,4
摔,seot1,shuai1,s,eot,1,sh,uai,1
叠,dip6,die2,d,ip,6,d,ie,2
惹,je5,re3,j,e,5,r,e,3
喻,jyu6,yu4,j,ü,6,y,ü,4
谱,pou2,pu3,p,ou,2,p,u,3
愧,kwai5,kui4,kw,ai,5,k,ui,4
煌,wong4,huang2,w,ong,4,h,uang,2
徽,fai1,hui1,f,ai,1,h,ui,1
溶,jung4,rong2,j,ung,4,r,ong,2
坠,zeoi6,zhui4,z,eoi,6,zh,ui,4
煞,saat3,sha1,s,aat,3,sh,a,1
巾,gan1,jin1,g,an,1,j,in,1
滥,laam6,lan4,l,aam,6,l,an,4
洒,saa2,sa3,s,aa,2,s,a,3
堵,dou2,du3,d,ou,2,d,u,3
瓷,ci4,ci2,c,i,4,c,i,2
咒,zau3,zhou4,z,au,3,zh,ou,4
姨,ji4,yi2,j,i,4,y,i,2
棒,paang5,bang4,p,aang,5,b,ang,4
郡,gwan6,jun4,gw,an,6,j,ün,4
浴,juk6,yu4,j,uk,6,y,ü,4
媚,mei6,mei4,m,ei,6,m,ei,4
稣,sou1,su1,s,ou,1,s,u,1
淮,waai4,huai2,w,aai,4,h,uai,2
哎,ai1,ai1, ,ai,1, ,ai,1
屁,pei3,pi4,p,ei,3,p,i,4
漆,cat1,qi1,c,at,1,q,i,1
淫,jam4,yin2,j,am,4,y,in,2
巢,caau4,chao2,c,aau,4,ch,ao,2
吩,fan1,fen1,f,an,1,f,en,1
撰,zaan6,zhuan4,z,aan,6,zh,uan,4
啸,siu3,xiao4,s,iu,3,x,iao,4
滞,zai6,zhi4,z,ai,6,zh,i,4
玫,mui4,mei2,m,ui,4,m,ei,2
硕,sek6,shuo4,s,ek,6,sh,uo,4
钓,diu3,diao4,d,iu,3,d,iao,4
蝶,dip6,die2,d,ip,6,d,ie,2
膝,sat1,xi1,s,at,1,x,i,1
姚,jiu4,yao2,j,iu,4,y,ao,2
茂,mau6,mao4,m,au,6,m,ao,4
躯,keoi1,qu1,k,eoi,1,q,ü,1
吏,lei6,li4,l,ei,6,l,i,4
猿,jyun4,yuan2,j,ün,4,y,üän,2
寨,zaai6,zhai4,z,aai,6,zh,ai,4
恕,syu3,shu4,s,ü,3,sh,u,4
渠,keoi4,qu2,k,eoi,4,q,ü,2
戚,cik1,qi1,c,ik,1,q,i,1
辰,san4,chen2,s,an,4,ch,en,2
舶,bok6,bo2,b,ok,6,b,o,2
颁,baan1,ban1,b,aan,1,b,an,1
惶,wong4,huang2,w,ong,4,h,uang,2
狐,wu4,hu2,w,u,4,h,u,2
讽,fung3,feng1,f,ung,3,f,eng,1
笨,ban6,ben4,b,an,6,b,en,4
袍,pou4,pao2,p,ou,4,p,ao,2
嘲,zaau1,chao2,z,aau,1,ch,ao,2
啡,fe1,fei1,f,e,1,f,ei,1
泼,put3,po1,p,ut,3,p,o,1
衔,haam4,xian2,h,aam,4,x,iän,2
倦,gyun6,juan4,g,ün,6,j,üän,4
涵,haam4,han2,h,aam,4,h,an,2
雀,zoek3,que4,z,oek,3,q,üe,4
旬,ceon4,xun2,c,eon,4,x,ün,2
僵,goeng1,jiang1,g,oeng,1,j,iang,1
撕,si1,si1,s,i,1,s,i,1
肢,zi1,zhi1,z,i,1,zh,i,1
垄,lung5,long3,l,ung,5,l,ong,3
夷,ji4,yi2,j,i,4,y,i,2
逸,jat6,yi4,j,at,6,y,i,4
茅,maau4,mao2,m,aau,4,m,ao,2
侨,kiu4,qiao2,k,iu,4,q,iao,2
舆,jyu4,yu2,j,ü,4,y,ü,2
窑,jiu4,yao2,j,iu,4,y,ao,2
涅,nip6,nie4,n,ip,6,n,ie,4
蒲,pou4,pu2,p,ou,4,p,u,2
谦,him1,qian1,h,im,1,q,iän,1
